thrid,emails,people,time duration,date,to,from
1522468673429092186,18,6,22,"Jan 4, 2016 17:47:46",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b
1522468673429092186,18,6,22,"Jan 4, 2016 18:40:17",['9087f42846a1ce2442df1b90c3aaff34c5dc8b4f16e837d680332a69'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 4, 2016 22:58:01",['e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 6, 2016 13:14:57",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b
1522468673429092186,18,6,22,"Jan 7, 2016 15:39:27",['e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 11, 2016 12:40:12",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522468673429092186,18,6,22,"Jan 12, 2016 18:15:24",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b
1522468673429092186,18,6,22,"Jan 14, 2016 00:02:50",['e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 14, 2016 19:31:57","['71f1c86b682f4177f722eaf92b3dcafd059e5781767866a60ed4ea54', 'e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b']",480392f0c1228952ed738645bfd2930a969029acf943e8fbf003cb99
1522468673429092186,18,6,22,"Jan 14, 2016 14:20:43",['480392f0c1228952ed738645bfd2930a969029acf943e8fbf003cb99'],e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b
1522468673429092186,18,6,22,"Jan 20, 2016 10:07:28",['480392f0c1228952ed738645bfd2930a969029acf943e8fbf003cb99'],e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b
1522468673429092186,18,6,22,"Jan 20, 2016 10:09:12",['e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 20, 2016 10:16:37",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],71f1c86b682f4177f722eaf92b3dcafd059e5781767866a60ed4ea54
1522468673429092186,18,6,22,"Jan 20, 2016 13:18:37",['71f1c86b682f4177f722eaf92b3dcafd059e5781767866a60ed4ea54'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 21, 2016 10:33:06",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522468673429092186,18,6,22,"Jan 26, 2016 10:02:42",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],71f1c86b682f4177f722eaf92b3dcafd059e5781767866a60ed4ea54
1522468673429092186,18,6,22,"Jan 26, 2016 21:43:04","['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b', '71f1c86b682f4177f722eaf92b3dcafd059e5781767866a60ed4ea54']",4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522798235722141157,13,4,23,"Jan 8, 2016 12:46:03","['4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc', '76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b']",f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a
1522798235722141157,13,4,23,"Jan 8, 2016 15:49:48",['f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a'],4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc
1522798235722141157,13,4,23,"Jan 11, 2016 18:37:08",['4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc'],f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a
1522798235722141157,13,4,23,"Jan 14, 2016 20:56:12",['f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a'],4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc
1522798235722141157,13,4,23,"Jan 21, 2016 10:12:24",['4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc'],f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a
1522798235722141157,13,4,23,"Jan 23, 2016 14:18:32",['f70cbaf3a8d70ca45a544c8fcd1d755a7e06d5499539dcd5f011686a'],4c630b36afeed38731650a363c9efcadc8b4ef2f5a0a5d213f493adc
